filename,category,snr_level,method,processing_time_ms
1_181_plus_5-194930-B-1_0dB.wav,rooster,0dB,Wiener,1489.49
1_195_plus_4-170078-A-1_0dB.wav,rooster,0dB,Wiener,2.4
1_249_plus_5-200334-B-1_0dB.wav,rooster,0dB,Wiener,2.5
1_282_plus_1-26806-A-1_0dB.wav,rooster,0dB,Wiener,2.0
1_311_plus_5-234879-A-1_0dB.wav,rooster,0dB,Wiener,2.5
1_361_plus_2-96460-A-1_0dB.wav,rooster,0dB,Wiener,2.08
1_396_plus_5-233160-A-1_0dB.wav,rooster,0dB,Wiener,2.5
1_418_plus_5-194930-A-1_0dB.wav,rooster,0dB,Wiener,3.41
1_458_plus_3-134049-A-1_0dB.wav,rooster,0dB,Wiener,1.51
1_474_plus_4-208021-A-1_0dB.wav,rooster,0dB,Wiener,2.0
